iteration,original_grad_norm,regularized_grad_norm,target_norm,input_norm,new_input_norm,old_input_norm,bound_norm,scale,regul,deg_f
1,1.1046853065490723,0.867080569267273,6833.876953125,416.87347412109375,416.87347412109375,0.0,415.6921938165305,0.1,0.001,5.0
2,1.348764419555664,11.286972999572754,58.56985855102539,3.4743690490722656,3.4743690490722656,0.0,415.6921938165305,0.1,0.001,5.0
3,5.558521270751953,43.5653076171875,4.884376525878906,17.816816329956055,17.816816329956055,0.0,415.6921938165305,0.1,0.001,5.0
4,2.147808074951172,16.029869079589844,94.80451202392578,29.277257919311523,29.277257919311523,0.0,415.6921938165305,0.1,0.001,5.0
5,7.47211217880249,7.4565629959106445,864.1832275390625,320.3424072265625,320.3424072265625,0.0,415.6921938165305,0.1,0.001,5.0
6,2.529733180999756,1.1459711790084839,4430.44677734375,426.45458984375,426.45458984375,0.0,415.6921938165305,0.1,0.001,5.0
7,0.07012741267681122,0.30539384484291077,42851.94921875,34.9354362487793,34.9354362487793,0.0,415.6921938165305,0.1,0.001,5.0
8,0.08493964374065399,0.5639570951461792,3776.572998046875,4.6707539558410645,4.6707539558410645,0.0,415.6921938165305,0.1,0.001,5.0
9,8.236510276794434,3.673896312713623,1122.03759765625,428.2945861816406,428.2945861816406,0.0,415.6921938165305,0.1,0.001,5.0
10,3.317857503890991,24.700244903564453,16.3206844329834,17.140501022338867,17.140501022338867,0.0,415.6921938165305,0.1,0.001,5.0
11,94.84436798095703,0.8817476034164429,114922.375,34219.26953125,34219.26953125,0.0,415.6921938165305,0.1,0.001,5.0
12,1.8891643285751343,3.5877671241760254,4619.26025390625,121.36260986328125,121.36260986328125,0.0,415.6921938165305,0.1,0.001,5.0
13,51.5205078125,0.2371823638677597,50448.8359375,78953.890625,78953.890625,0.0,415.6921938165305,0.1,0.001,5.0
14,4.667062759399414,29.44315528869629,2.8389008045196533,9.152873992919922,9.152873992919922,0.0,415.6921938165305,0.1,0.001,5.0
15,0.007097803521901369,0.05078785493969917,41337.98046875,23.647544860839844,23.647544860839844,0.0,415.6921938165305,0.1,0.001,5.0
16,0.9122694730758667,8.01023006439209,204.13714599609375,10.476876258850098,10.476876258850098,0.0,415.6921938165305,0.1,0.001,5.0
17,129.92161560058594,0.1671263575553894,748.04248046875,207043.703125,207043.703125,0.0,415.6921938165305,0.1,0.001,5.0
18,327.86944580078125,12.458942413330078,66.69341278076172,9726.015625,9726.015625,0.0,415.6921938165305,0.1,0.001,5.0
