iteration,original_grad_norm,regularized_grad_norm
1,"tensor(5.1898, device='cuda:0')","tensor(36.6433, device='cuda:0')"
2,"tensor(5.6292, device='cuda:0')","tensor(27.9468, device='cuda:0')"
3,"tensor(5.0142, device='cuda:0')","tensor(26.7374, device='cuda:0')"
4,"tensor(4.6772, device='cuda:0')","tensor(29.9846, device='cuda:0')"
5,"tensor(4.5157, device='cuda:0')","tensor(37.6323, device='cuda:0')"
6,"tensor(5.1838, device='cuda:0')","tensor(60.7611, device='cuda:0')"
7,"tensor(5.4254, device='cuda:0')","tensor(72.0455, device='cuda:0')"
8,"tensor(2.9853, device='cuda:0')","tensor(42.4847, device='cuda:0')"
9,"tensor(2.5401, device='cuda:0')","tensor(38.5278, device='cuda:0')"
10,"tensor(4.7402, device='cuda:0')","tensor(53.9626, device='cuda:0')"
11,"tensor(3.4365, device='cuda:0')","tensor(12.4649, device='cuda:0')"
12,"tensor(1.8628, device='cuda:0')","tensor(14.8148, device='cuda:0')"
13,"tensor(2.7920, device='cuda:0')","tensor(20.8789, device='cuda:0')"
14,"tensor(2.9569, device='cuda:0')","tensor(25.8262, device='cuda:0')"
15,"tensor(2.9021, device='cuda:0')","tensor(28.7841, device='cuda:0')"
16,"tensor(3.6572, device='cuda:0')","tensor(35.7237, device='cuda:0')"
17,"tensor(4.0495, device='cuda:0')","tensor(38.8915, device='cuda:0')"
18,"tensor(5.9710, device='cuda:0')","tensor(75.1559, device='cuda:0')"
19,"tensor(4.4070, device='cuda:0')","tensor(52.5399, device='cuda:0')"
20,"tensor(4.9433, device='cuda:0')","tensor(53.9724, device='cuda:0')"
21,"tensor(5.4251, device='cuda:0')","tensor(17.9343, device='cuda:0')"
22,"tensor(6.8138, device='cuda:0')","tensor(23.1269, device='cuda:0')"
23,"tensor(6.7494, device='cuda:0')","tensor(23.2155, device='cuda:0')"
24,"tensor(5.9842, device='cuda:0')","tensor(22.9343, device='cuda:0')"
25,"tensor(6.5404, device='cuda:0')","tensor(23.0108, device='cuda:0')"
26,"tensor(6.1901, device='cuda:0')","tensor(29.9416, device='cuda:0')"
27,"tensor(5.3672, device='cuda:0')","tensor(27.6919, device='cuda:0')"
28,"tensor(3.9350, device='cuda:0')","tensor(26.1731, device='cuda:0')"
29,"tensor(4.0778, device='cuda:0')","tensor(27.5960, device='cuda:0')"
30,"tensor(3.5740, device='cuda:0')","tensor(31.5416, device='cuda:0')"
31,"tensor(3.6171, device='cuda:0')","tensor(14.7418, device='cuda:0')"
32,"tensor(3.5034, device='cuda:0')","tensor(16.6932, device='cuda:0')"
33,"tensor(3.2824, device='cuda:0')","tensor(20.9841, device='cuda:0')"
34,"tensor(4.9437, device='cuda:0')","tensor(33.9624, device='cuda:0')"
35,"tensor(4.1184, device='cuda:0')","tensor(34.1180, device='cuda:0')"
36,"tensor(4.3461, device='cuda:0')","tensor(37.2998, device='cuda:0')"
