iteration,original_grad_norm,regularized_grad_norm
1,"tensor(3.0729, device='cuda:0')","tensor(26.5838, device='cuda:0')"
2,"tensor(4.0705, device='cuda:0')","tensor(16.0919, device='cuda:0')"
3,"tensor(4.0086, device='cuda:0')","tensor(17.7106, device='cuda:0')"
4,"tensor(4.6263, device='cuda:0')","tensor(23.0464, device='cuda:0')"
5,"tensor(3.9500, device='cuda:0')","tensor(23.8456, device='cuda:0')"
6,"tensor(3.5657, device='cuda:0')","tensor(28.0923, device='cuda:0')"
7,"tensor(3.9066, device='cuda:0')","tensor(33.8526, device='cuda:0')"
8,"tensor(2.9668, device='cuda:0')","tensor(25.7931, device='cuda:0')"
9,"tensor(2.8929, device='cuda:0')","tensor(24.7047, device='cuda:0')"
10,"tensor(3.8074, device='cuda:0')","tensor(32.9069, device='cuda:0')"
11,"tensor(3.3612, device='cuda:0')","tensor(7.7651, device='cuda:0')"
12,"tensor(2.0977, device='cuda:0')","tensor(8.5083, device='cuda:0')"
13,"tensor(2.7604, device='cuda:0')","tensor(12.4182, device='cuda:0')"
14,"tensor(1.9327, device='cuda:0')","tensor(12.5598, device='cuda:0')"
15,"tensor(1.8818, device='cuda:0')","tensor(14.0536, device='cuda:0')"
16,"tensor(2.2918, device='cuda:0')","tensor(18.2348, device='cuda:0')"
17,"tensor(2.7196, device='cuda:0')","tensor(19.8100, device='cuda:0')"
18,"tensor(3.3074, device='cuda:0')","tensor(37.2319, device='cuda:0')"
19,"tensor(2.8401, device='cuda:0')","tensor(29.4108, device='cuda:0')"
20,"tensor(3.2368, device='cuda:0')","tensor(28.8461, device='cuda:0')"
21,"tensor(3.4674, device='cuda:0')","tensor(9.7472, device='cuda:0')"
22,"tensor(4.0416, device='cuda:0')","tensor(12.2113, device='cuda:0')"
23,"tensor(4.1648, device='cuda:0')","tensor(12.0032, device='cuda:0')"
24,"tensor(3.7850, device='cuda:0')","tensor(11.0013, device='cuda:0')"
25,"tensor(3.8400, device='cuda:0')","tensor(11.0755, device='cuda:0')"
26,"tensor(3.4710, device='cuda:0')","tensor(11.8547, device='cuda:0')"
27,"tensor(3.0796, device='cuda:0')","tensor(10.1673, device='cuda:0')"
28,"tensor(2.6998, device='cuda:0')","tensor(10.1294, device='cuda:0')"
29,"tensor(2.4332, device='cuda:0')","tensor(9.6279, device='cuda:0')"
30,"tensor(2.9470, device='cuda:0')","tensor(13.0873, device='cuda:0')"
31,"tensor(2.7182, device='cuda:0')","tensor(7.4107, device='cuda:0')"
32,"tensor(2.4294, device='cuda:0')","tensor(7.5559, device='cuda:0')"
33,"tensor(2.9813, device='cuda:0')","tensor(9.8785, device='cuda:0')"
34,"tensor(3.5007, device='cuda:0')","tensor(16.6825, device='cuda:0')"
35,"tensor(2.9126, device='cuda:0')","tensor(14.9017, device='cuda:0')"
36,"tensor(3.2986, device='cuda:0')","tensor(17.0427, device='cuda:0')"
37,"tensor(3.1838, device='cuda:0')","tensor(19.9236, device='cuda:0')"
38,"tensor(2.1403, device='cuda:0')","tensor(20.1287, device='cuda:0')"
39,"tensor(2.1710, device='cuda:0')","tensor(25.0276, device='cuda:0')"
40,"tensor(2.2828, device='cuda:0')","tensor(29.5484, device='cuda:0')"
41,"tensor(2.8225, device='cuda:0')","tensor(15.2678, device='cuda:0')"
42,"tensor(4.3769, device='cuda:0')","tensor(50.8598, device='cuda:0')"
43,"tensor(4.6685, device='cuda:0')","tensor(40.9018, device='cuda:0')"
44,"tensor(3.9208, device='cuda:0')","tensor(38.2376, device='cuda:0')"
45,"tensor(3.9341, device='cuda:0')","tensor(35.9153, device='cuda:0')"
46,"tensor(4.3382, device='cuda:0')","tensor(37.7305, device='cuda:0')"
47,"tensor(4.3505, device='cuda:0')","tensor(35.4507, device='cuda:0')"
48,"tensor(4.3302, device='cuda:0')","tensor(34.6885, device='cuda:0')"
49,"tensor(4.6466, device='cuda:0')","tensor(36.9296, device='cuda:0')"
50,"tensor(4.1942, device='cuda:0')","tensor(27.0728, device='cuda:0')"
51,"tensor(4.3695, device='cuda:0')","tensor(13.3012, device='cuda:0')"
52,"tensor(4.1773, device='cuda:0')","tensor(14.8861, device='cuda:0')"
