iteration,original_grad_norm,regularized_grad_norm
1,"tensor(2.4424, device='cuda:0')","tensor(29.1686, device='cuda:0')"
2,"tensor(3.8684, device='cuda:0')","tensor(18.8064, device='cuda:0')"
3,"tensor(3.5976, device='cuda:0')","tensor(18.0002, device='cuda:0')"
4,"tensor(2.9147, device='cuda:0')","tensor(16.9952, device='cuda:0')"
5,"tensor(3.1180, device='cuda:0')","tensor(22.3107, device='cuda:0')"
6,"tensor(3.7238, device='cuda:0')","tensor(31.6467, device='cuda:0')"
7,"tensor(4.3104, device='cuda:0')","tensor(39.4752, device='cuda:0')"
8,"tensor(3.5944, device='cuda:0')","tensor(33.8442, device='cuda:0')"
9,"tensor(3.3917, device='cuda:0')","tensor(31.8434, device='cuda:0')"
10,"tensor(3.2000, device='cuda:0')","tensor(34.4097, device='cuda:0')"
11,"tensor(2.8976, device='cuda:0')","tensor(8.9782, device='cuda:0')"
12,"tensor(2.3440, device='cuda:0')","tensor(10.8734, device='cuda:0')"
13,"tensor(2.0536, device='cuda:0')","tensor(12.0566, device='cuda:0')"
14,"tensor(2.4420, device='cuda:0')","tensor(15.2939, device='cuda:0')"
15,"tensor(2.5475, device='cuda:0')","tensor(17.1308, device='cuda:0')"
16,"tensor(3.0022, device='cuda:0')","tensor(21.3597, device='cuda:0')"
17,"tensor(3.5851, device='cuda:0')","tensor(27.3534, device='cuda:0')"
18,"tensor(3.7574, device='cuda:0')","tensor(32.8358, device='cuda:0')"
19,"tensor(4.4144, device='cuda:0')","tensor(31.6142, device='cuda:0')"
20,"tensor(4.2396, device='cuda:0')","tensor(25.7806, device='cuda:0')"
21,"tensor(4.7251, device='cuda:0')","tensor(10.4960, device='cuda:0')"
22,"tensor(4.3137, device='cuda:0')","tensor(11.8099, device='cuda:0')"
23,"tensor(4.1778, device='cuda:0')","tensor(10.9390, device='cuda:0')"
24,"tensor(3.9126, device='cuda:0')","tensor(9.7741, device='cuda:0')"
25,"tensor(4.0879, device='cuda:0')","tensor(9.7845, device='cuda:0')"
26,"tensor(3.8614, device='cuda:0')","tensor(10.3425, device='cuda:0')"
27,"tensor(3.5047, device='cuda:0')","tensor(8.9676, device='cuda:0')"
