pi,trace(a),trace(g)
"tensor(19139.7656, device='cuda:0')","tensor(5882771., device='cuda:0')","tensor(0.0514, device='cuda:0')"
"tensor(21047.2227, device='cuda:0')","tensor(8046048., device='cuda:0')","tensor(0.0060, device='cuda:0')"
"tensor(4426.6973, device='cuda:0')","tensor(2918062.5000, device='cuda:0')","tensor(0.0494, device='cuda:0')"
"tensor(16730.9082, device='cuda:0')","tensor(3605189., device='cuda:0')","tensor(0.0043, device='cuda:0')"
"tensor(2430.6709, device='cuda:0')","tensor(859289., device='cuda:0')","tensor(0.0482, device='cuda:0')"
"tensor(12835.6445, device='cuda:0')","tensor(2358202.2500, device='cuda:0')","tensor(0.0047, device='cuda:0')"
"tensor(2773.3608, device='cuda:0')","tensor(1095228., device='cuda:0')","tensor(0.0472, device='cuda:0')"
"tensor(8496.6982, device='cuda:0')","tensor(978118.9375, device='cuda:0')","tensor(0.0045, device='cuda:0')"
"tensor(1618.9089, device='cuda:0')","tensor(363102.4375, device='cuda:0')","tensor(0.0459, device='cuda:0')"
"tensor(5046.6353, device='cuda:0')","tensor(560254., device='cuda:0')","tensor(0.0073, device='cuda:0')"
"tensor(1166.1002, device='cuda:0')","tensor(178584.8125, device='cuda:0')","tensor(0.0436, device='cuda:0')"
"tensor(4490.1973, device='cuda:0')","tensor(439643.9375, device='cuda:0')","tensor(0.0072, device='cuda:0')"
"tensor(831.6039, device='cuda:0')","tensor(86812.4688, device='cuda:0')","tensor(0.0416, device='cuda:0')"
"tensor(6230.4897, device='cuda:0')","tensor(220943.9062, device='cuda:0')","tensor(0.0019, device='cuda:0')"
"tensor(376.6847, device='cuda:0')","tensor(17224.7969, device='cuda:0')","tensor(0.0403, device='cuda:0')"
"tensor(5907.5610, device='cuda:0')","tensor(212743.5938, device='cuda:0')","tensor(0.0020, device='cuda:0')"
"tensor(345.2887, device='cuda:0')","tensor(14175.7734, device='cuda:0')","tensor(0.0394, device='cuda:0')"
"tensor(6343.7764, device='cuda:0')","tensor(207380.5156, device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(380.4357, device='cuda:0')","tensor(16944.5469, device='cuda:0')","tensor(0.0388, device='cuda:0')"
"tensor(6369.3682, device='cuda:0')","tensor(205755.3750, device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(270.4276, device='cuda:0')","tensor(8474.2637, device='cuda:0')","tensor(0.0384, device='cuda:0')"
"tensor(5194.1372, device='cuda:0')","tensor(198604.6562, device='cuda:0')","tensor(0.0122, device='cuda:0')"
"tensor(523.8174, device='cuda:0')","tensor(76119.4531, device='cuda:0')","tensor(0.0924, device='cuda:0')"
"tensor(5977.9951, device='cuda:0')","tensor(670558.8750, device='cuda:0')","tensor(0.0924, device='cuda:0')"
"tensor(6.6931, device='cuda:0')","tensor(847.3517, device='cuda:0')","tensor(16.9706, device='cuda:0')"
"tensor(36173.7773, device='cuda:0')","tensor(5906315., device='cuda:0')","tensor(0.0144, device='cuda:0')"
"tensor(40446.3672, device='cuda:0')","tensor(8112528., device='cuda:0')","tensor(0.0016, device='cuda:0')"
"tensor(8396.4473, device='cuda:0')","tensor(2943587.2500, device='cuda:0')","tensor(0.0138, device='cuda:0')"
"tensor(30334.4961, device='cuda:0')","tensor(3622397., device='cuda:0')","tensor(0.0013, device='cuda:0')"
"tensor(4608.1284, device='cuda:0')","tensor(863980.2500, device='cuda:0')","tensor(0.0135, device='cuda:0')"
"tensor(24971.3047, device='cuda:0')","tensor(2364260., device='cuda:0')","tensor(0.0013, device='cuda:0')"
"tensor(5286.2671, device='cuda:0')","tensor(1106476.7500, device='cuda:0')","tensor(0.0131, device='cuda:0')"
"tensor(16255.3301, device='cuda:0')","tensor(977961.7500, device='cuda:0')","tensor(0.0012, device='cuda:0')"
"tensor(3077.8765, device='cuda:0')","tensor(364897.7812, device='cuda:0')","tensor(0.0128, device='cuda:0')"
"tensor(9834.1465, device='cuda:0')","tensor(552494.3125, device='cuda:0')","tensor(0.0019, device='cuda:0')"
"tensor(2187.4119, device='cuda:0')","tensor(174256.0938, device='cuda:0')","tensor(0.0121, device='cuda:0')"
"tensor(9298.8506, device='cuda:0')","tensor(429567.3125, device='cuda:0')","tensor(0.0016, device='cuda:0')"
"tensor(1541.2894, device='cuda:0')","tensor(83242.3359, device='cuda:0')","tensor(0.0116, device='cuda:0')"
"tensor(11240.3926, device='cuda:0')","tensor(216683.4531, device='cuda:0')","tensor(0.0006, device='cuda:0')"
"tensor(692.0690, device='cuda:0')","tensor(16268.8193, device='cuda:0')","tensor(0.0113, device='cuda:0')"
"tensor(10058.7061, device='cuda:0')","tensor(209097.6094, device='cuda:0')","tensor(0.0007, device='cuda:0')"
"tensor(641.4481, device='cuda:0')","tensor(13694.2734, device='cuda:0')","tensor(0.0110, device='cuda:0')"
"tensor(11758.6592, device='cuda:0')","tensor(204113.6250, device='cuda:0')","tensor(0.0005, device='cuda:0')"
"tensor(703.1353, device='cuda:0')","tensor(16290.5801, device='cuda:0')","tensor(0.0109, device='cuda:0')"
"tensor(12180.0986, device='cuda:0')","tensor(203088.4531, device='cuda:0')","tensor(0.0005, device='cuda:0')"
"tensor(498.2603, device='cuda:0')","tensor(8064.5864, device='cuda:0')","tensor(0.0108, device='cuda:0')"
"tensor(9206.9893, device='cuda:0')","tensor(196148.8438, device='cuda:0')","tensor(0.0038, device='cuda:0')"
"tensor(967.3709, device='cuda:0')","tensor(74990.8906, device='cuda:0')","tensor(0.0267, device='cuda:0')"
"tensor(11138.7119, device='cuda:0')","tensor(672484.6875, device='cuda:0')","tensor(0.0267, device='cuda:0')"
"tensor(13.5978, device='cuda:0')","tensor(1010.3613, device='cuda:0')","tensor(4.9026, device='cuda:0')"
"tensor(35821.2227, device='cuda:0')","tensor(5935985.5000, device='cuda:0')","tensor(0.0148, device='cuda:0')"
"tensor(39802.8242, device='cuda:0')","tensor(8170351., device='cuda:0')","tensor(0.0017, device='cuda:0')"
"tensor(8324.8184, device='cuda:0')","tensor(2968372., device='cuda:0')","tensor(0.0142, device='cuda:0')"
