pi,trace(a),trace(g)
"tensor(22494.5156, device='cuda:0')","tensor(5882771., device='cuda:0')","tensor(0.0372, device='cuda:0')"
"tensor(26562.0586, device='cuda:0')","tensor(8026494.5000, device='cuda:0')","tensor(0.0038, device='cuda:0')"
"tensor(4551.4424, device='cuda:0')","tensor(2276806., device='cuda:0')","tensor(0.0364, device='cuda:0')"
"tensor(20367.9160, device='cuda:0')","tensor(4316158., device='cuda:0')","tensor(0.0035, device='cuda:0')"
"tensor(3082.8789, device='cuda:0')","tensor(1025910.5000, device='cuda:0')","tensor(0.0358, device='cuda:0')"
"tensor(15269.4180, device='cuda:0')","tensor(2699848.5000, device='cuda:0')","tensor(0.0038, device='cuda:0')"
"tensor(3644.4045, device='cuda:0')","tensor(1406497.7500, device='cuda:0')","tensor(0.0351, device='cuda:0')"
"tensor(10104.9219, device='cuda:0')","tensor(1032307.4375, device='cuda:0')","tensor(0.0034, device='cuda:0')"
"tensor(1854.0848, device='cuda:0')","tensor(356941.4375, device='cuda:0')","tensor(0.0344, device='cuda:0')"
"tensor(6445.3364, device='cuda:0')","tensor(564784.8750, device='cuda:0')","tensor(0.0045, device='cuda:0')"
"tensor(1382.1919, device='cuda:0')","tensor(195302.6875, device='cuda:0')","tensor(0.0339, device='cuda:0')"
"tensor(5885.4956, device='cuda:0')","tensor(373751.6250, device='cuda:0')","tensor(0.0036, device='cuda:0')"
"tensor(836.2137, device='cuda:0')","tensor(70382.3750, device='cuda:0')","tensor(0.0334, device='cuda:0')"
"tensor(7019.6304, device='cuda:0')","tensor(181807.8125, device='cuda:0')","tensor(0.0012, device='cuda:0')"
"tensor(341.2844, device='cuda:0')","tensor(11579.4072, device='cuda:0')","tensor(0.0330, device='cuda:0')"
"tensor(6596.5435, device='cuda:0')","tensor(172857.4375, device='cuda:0')","tensor(0.0013, device='cuda:0')"
"tensor(301.7515, device='cuda:0')","tensor(8943.8975, device='cuda:0')","tensor(0.0326, device='cuda:0')"
"tensor(6367.0630, device='cuda:0')","tensor(168429.7188, device='cuda:0')","tensor(0.0014, device='cuda:0')"
"tensor(337.1819, device='cuda:0')","tensor(11063.6328, device='cuda:0')","tensor(0.0323, device='cuda:0')"
"tensor(7249.4976, device='cuda:0')","tensor(164518.4062, device='cuda:0')","tensor(0.0010, device='cuda:0')"
"tensor(248.1001, device='cuda:0')","tensor(5943.3477, device='cuda:0')","tensor(0.0320, device='cuda:0')"
"tensor(6858.5723, device='cuda:0')","tensor(160184.9062, device='cuda:0')","tensor(0.0056, device='cuda:0')"
"tensor(379.1330, device='cuda:0')","tensor(39600.1016, device='cuda:0')","tensor(0.0917, device='cuda:0')"
"tensor(6597.6919, device='cuda:0')","tensor(811123.9375, device='cuda:0')","tensor(0.0917, device='cuda:0')"
"tensor(6.8112, device='cuda:0')","tensor(877.5303, device='cuda:0')","tensor(16.9706, device='cuda:0')"
"tensor(42254.4648, device='cuda:0')","tensor(5906315., device='cuda:0')","tensor(0.0106, device='cuda:0')"
"tensor(49510.7227, device='cuda:0')","tensor(8092883., device='cuda:0')","tensor(0.0011, device='cuda:0')"
"tensor(8588.7588, device='cuda:0')","tensor(2297847., device='cuda:0')","tensor(0.0103, device='cuda:0')"
"tensor(37526.4844, device='cuda:0')","tensor(4343612., device='cuda:0')","tensor(0.0010, device='cuda:0')"
"tensor(5821.7920, device='cuda:0')","tensor(1034670.5625, device='cuda:0')","tensor(0.0101, device='cuda:0')"
"tensor(28353.2988, device='cuda:0')","tensor(2715805.5000, device='cuda:0')","tensor(0.0011, device='cuda:0')"
"tensor(6899.7095, device='cuda:0')","tensor(1427135., device='cuda:0')","tensor(0.0099, device='cuda:0')"
"tensor(18868.9473, device='cuda:0')","tensor(1030914.8750, device='cuda:0')","tensor(0.0010, device='cuda:0')"
"tensor(3498.1704, device='cuda:0')","tensor(358511., device='cuda:0')","tensor(0.0097, device='cuda:0')"
"tensor(12450.1719, device='cuda:0')","tensor(557909.1250, device='cuda:0')","tensor(0.0012, device='cuda:0')"
"tensor(2635.2585, device='cuda:0')","tensor(198921.5000, device='cuda:0')","tensor(0.0095, device='cuda:0')"
"tensor(11204.8262, device='cuda:0')","tensor(364700.1562, device='cuda:0')","tensor(0.0010, device='cuda:0')"
"tensor(1570.6118, device='cuda:0')","tensor(69337.1875, device='cuda:0')","tensor(0.0093, device='cuda:0')"
"tensor(12575.9434, device='cuda:0')","tensor(178686.0938, device='cuda:0')","tensor(0.0004, device='cuda:0')"
"tensor(627.2752, device='cuda:0')","tensor(10965.3057, device='cuda:0')","tensor(0.0092, device='cuda:0')"
"tensor(11706.7539, device='cuda:0')","tensor(169864.2812, device='cuda:0')","tensor(0.0004, device='cuda:0')"
"tensor(559.8525, device='cuda:0')","tensor(8641.7227, device='cuda:0')","tensor(0.0091, device='cuda:0')"
